urn	name	type
10051267	General Advisory Committee on Science	Advisory non-departmental public body
10019001	General Commissioners of Income Tax Tribunal	Executive Agency
10015954	General Dental Council	TBA
10008351	General Lighthouse Authorities	NDPB
10036626	General Officer Scotland GOS	TBA
10032662	General Optical Council	TBA
10015955	General Register Office	TBA
10034570	General Register Office For Scotland	TBA
10041237	Genomics England	TBA
10032271	Gibralter Barracks	TBA
10024127	Glasgow Springburn BDC	TBA
10041990	Global Law Summit	None
10040406	Global Operations Security Control Centre	TBA
10021768	Gloucestershire Courts Service	District Council
10002138	Gloucestershire Probation Trust	TBA
10008390	GNN Government News Network South East	TBA
10013088	GNN News Distribution Service	TBA
10013426	Goods Vehicle Testing	TBA
10021828	Go-Skills	TBA
10021829	Government Actuary's Department	TBA
10008404	Government Car Service	Executive Agency
10051268	Government Chemist	Sub-organisation
10008405	Government Chief Whips Office	TBA
10044191	Government Commercial Function	TBA
10008406	Government Communications Bureau	TBA
10002142	Government Communications Headquarters	TBA
10008407	Government Communications Planning Directorate	TBA
10051269	Government Digital Service	Sub-organisation
10024157	Government Equalities Office	TBA
10025562	Government Estates Management	Executive Agency
10042663	Government Internal Audit Agency	Executive Agency
10051270	Government IT Profession	Sub-organisation
10010915	Government Legal Department	Executive Agency
10042782	Government Legal Service	Other
10008408	Government News Network	TBA
10051271	Government Office for Science	Other
10028901	Government Protection Agency	TBA
10051272	Government Security Profession	Sub-organisation
10008412	Government Security Services	TBA
10022742	Government Skills	NDPB
10032701	Government Strategic Marketing Advisory Board	NDPB
10035371	Government Transport Service	TBA
10018048	GovNet Communications	TBA
10008433	Greater London Magistrates Court Service	NDPB
10008434	Greater London Magistrates Courts Authority	NDPB
10032400	Greater London Prisons	TBA
10032401	Greater London Probation	TBA
10026494	Greater Manchester Probation Trust	TBA
10042188	Groceries Code Adjudicator	None
10019669	Gurkha Museum	TBA
10008485	Gwent Magistrates Courts Committee	TBA
10034586	H M Immigration Office	TBA
10021830	HABIA	TBA
10030065	Halton Magistrates Court	TBA
10030066	Hampshire And Isle Of Wight Army Cadet Force	TBA
10002396	Hampshire and Isle Of Wight Magistrates Courts Committee	TBA
10021481	Hampshire Probation Trust	TBA
10025692	Harlow Renaissance	Public Corporation
10008699	Haslar Immigration Removal Centre	TBA
10030777	Hastings County Court	TBA
10025689	Hatfield Remand Court	TBA
10051543	Head Office and Corporate Services	Other
10040362	Headquarters Colchester Station	TBA
10040415	Headquarters of the Special Investigation Branch United Kingdom Royal Military Police The	TBA
10006504	Health and Safety Executive	NDPB
10043553	Health and Safety Executive	Executive Agency
10043539	Health and Safety Executive	Executive Agency
10043540	Health and Safety Executive	Executive Agency
10043541	Health and Safety Executive	Executive Agency
10043542	Health and Safety Executive	Executive Agency
10043543	Health and Safety Executive	Executive Agency
10043544	Health and Safety Executive	Executive Agency
10043545	Health and Safety Executive	Executive Agency
10043546	Health and Safety Executive	Executive Agency
10043547	Health and Safety Executive	Executive Agency
10043548	Health and Safety Executive	Executive Agency
10043549	Health and Safety Executive	Executive Agency
10043550	Health and Safety Executive	Executive Agency
10043551	Health and Safety Executive	Executive Agency
10043552	Health and Safety Executive	Executive Agency
10043554	Health and Safety Executive	Executive Agency
10043555	Health and Safety Executive	Executive Agency
10043556	Health and Safety Executive	Executive Agency
10043557	Health and Safety Executive	Executive Agency
10043558	Health and Safety Executive	Executive Agency
10043559	Health and Safety Executive	Executive Agency
10043560	Health and Safety Executive	Executive Agency
10043561	Health and Safety Executive	Executive Agency
10043562	Health and Safety Executive	Executive Agency
10043563	Health and Safety Executive	Executive Agency
10043564	Health and Safety Executive	Executive Agency
10043565	Health and Safety Executive	Executive Agency
10043566	Health and Safety Executive	Executive Agency
10043567	Health and Safety Executive	Executive Agency
10043568	Health and Safety Executive	Executive Agency
10043569	Health and Safety Executive	Executive Agency
10005688	Health and Safety Laboratory	Executive Agency
10037627	Health Education England	TBA
10036746	Health Research Authority	TBA
10051273	Healthcare UK	Sub-organisation
10015539	Her Majestys Court Service for Kent	TBA
10014876	Her Majestys Court Service Wales Region	TBA
10023312	Her Majestys Court Services Estates	TBA
10015633	Her Majestys Court Services for Manchester	TBA
10008604	Heritage Lottery Fund	NDPB
10022938	Hertfordshire Probation Trust	TBA
10037675	High Commission of India	TBA
10032389	High Security Prisons	TBA
10051274	High Speed Two (HS2) Limited	Executive non-departmental public body
10008621	Highbury Corner Magistrates Court	NDPB
10000121	Higher Education Funding Council for England	NDPB
10008639	Highways England	Other
10030778	Hinckley Magistrates Court	TBA
10006177	Historic England	NDPB
10005419	Historic Royal Palaces	NDPB
10014783	HM Courts & Tribunals Service	Executive Agency
10030779	HM Courts Service Bicester	TBA
10030780	HM Courts Service Family	TBA
10015572	HM Courts service Judges Lodgings	TBA
10030781	HM Courts Service London Region	TBA
10032936	HM Courts Service Midlands Region	TBA
10032937	HM Courts Service North East Region	TBA
10030782	HM Courts Service North West Region	TBA
10030836	HM Courts Service Nuneaton	NDPB
10030783	HM Courts Service Rotherham Court	TBA
10030784	HM Courts Service Scarborough Court	TBA
10030785	HM Courts Service South E Region	TBA
10030786	HM Courts Service South W Region	TBA
10030787	HM Courts Service Sunderland Court	TBA
10032938	HM Courts Service Wales Region	TBA
10016233	HM Crown Prosecution Service Inspectorate	TBA
10030968	HM Forces the Band and the Bugles	TBA
10042250	HM Government Communications Centre	Executive Agency
10019961	HM Inspectorate of Constabulary	TBA
10021833	HM Inspectorate of Courts Administration	TBA
10019962	HM Inspectorate of Prisons	TBA
10008654	HM Inspectorate of Probation	Executive Agency
10001171	HM Naval Base Devonport	TBA
10008656	HM Naval Base Portsmouth	TBA
10010958	HM Passport Office	Executive Agency
10004137	HM Prison Acklington	TBA
10002824	HM Prison Albany	TBA
10008670	HM Prison and Young Offenders Institution Ashfield	TBA
10006760	HM Prison and Young Offenders Institution Askham Grange	TBA
10008695	HM Prison and Young Offenders Institution Brinsford	TBA
10001700	HM Prison and Young Offenders Institution Bullwood Hall	TBA
10004138	HM Prison and Young Offenders Institution Castington	TBA
10001699	HM Prison and Young Offenders Institution Chelmsford	TBA
10005104	HM Prison and Young Offenders Institution Drake Hall	TBA
10003030	HM Prison and Young Offenders Institution East Sutton Park	TBA
10002145	HM Prison and Young Offenders Institution Eastwood Park	TBA
10001175	HM Prison and Young Offenders Institution Exeter	TBA
10003850	HM Prison and Young Offenders Institution Feltham	TBA
10002146	HM Prison and Young Offenders Institution Gloucester	TBA
10001357	HM Prison and Young Offenders Institution Guys Marsh	TBA
10008693	HM Prison and Young Offenders Institution Holloway	TBA
10003370	HM Prison and Young Offenders Institution Lancaster Farms	TBA
10001939	HM Prison and Young Offenders Institution Lewes	TBA
10005693	HM Prison and Young Offenders Institution Moorland	TBA
10004315	HM Prison and Young Offenders Institution Norwich	TBA
10000301	HM Prison and Young Offenders Institution Reading	TBA
10000680	HM Prison and Young Offenders Institution Styal	TBA
10000210	HM Prison Bedford	TBA
10008671	HM Prison Belmarsh	TBA
10003021	HM Prison Blantyre House	TBA
10005250	HM Prison Blundeston	TBA
10000122	HM Prison Bristol	TBA
10008673	HM Prison Brixton	TBA
10003363	HM Prison Buckley Hall	TBA
10004666	HM Prison Bullingdon	TBA
10032417	HM Prison Bure	TBA
10002825	HM Prison Camp Hill	TBA
10003022	HM Prison Canterbury	TBA
10008674	HM Prison Cardiff	TBA
10001173	HM Prison Channings Wood	TBA
10005422	HM Prison Coldingley	TBA
10008675	HM Prison Construction Services	TBA
10001174	HM Prison Dartmoor	TBA
10001353	HM Prison Dorchester	TBA
10028075	HM Prison Dovegate	TBA
10005423	HM Prison Downview	TBA
10008676	HM Prison Durham	TBA
10014201	HM Prison Eastern Area Office	TBA
10027977	HM Prison Edmunds Hill	TBA
10003025	HM Prison Elmley	TBA
10005989	HM Prison Erlestoke	TBA
10002022	HM Prison Everthorpe	TBA
10008677	HM Prison Featherstone	TBA
10006508	HM Prison Ford	TBA
10001054	HM Prison Foston Hall	TBA
10001499	HM Prison Frankland	TBA
10008678	HM Prison Full Sutton	TBA
10003364	HM Prison Garth	TBA
10003594	HM Prison Gartree	TBA
10000439	HM Prison Grendon/Springhill	TBA
10000949	HM Prison Haverigg	TBA
10028020	HM Prison Hewell	TBA
10005424	HM Prison High Down	TBA
10005251	HM Prison Highpoint	TBA
10005253	HM Prison Hollesley Bay	TBA
10000787	HM Prison Holme House	TBA
10002023	HM Prison Hull	TBA
10021534	HM Prison Kennet	TBA
10002421	HM Prison Kingston	TBA
10003366	HM Prison Kirkham	TBA
10000788	HM Prison Kirklevington Grange	TBA
10005421	HM Prison Latchmere House	TBA
10006646	HM Prison Leeds	TBA
10008681	HM Prison Leicester	TBA
10002147	HM Prison Leyhill	TBA
10003671	HM Prison Lincoln	TBA
10005691	HM Prison Lindholme	TBA
10000539	HM Prison Littlehey	TBA
10008682	HM Prison Liverpool	TBA
10006337	HM Prison Long Lartin	TBA
10004428	HM Prison Lowdham Grange	TBA
10003026	HM Prison Maidstone	TBA
10008683	HM Prison Manchester	TBA
10008684	HM Prison Morton Hall	TBA
10030086	HM Prison NDC Branston	TBA
10028078	HM Prison New Hall	TBA
10003672	HM Prison North Sea Camp	TBA
10008685	HM Prison Nottingham	TBA
10002826	HM Prison Parkhurst	TBA
10008686	HM Prison Pentonville	TBA
10003368	HM Prison Preston	TBA
10004429	HM Prison Ranby	TBA
10000679	HM Prison Risley	TBA
10003027	HM Prison Rochester	TBA
10005426	HM Prison Send	TBA
10008662	HM Prison Service	Executive Agency
10024797	HM Prison Service Assessment Centre	TBA
10030090	HM Prison Service Operations Unit	TBA
10024315	HM Prison Service Procurement Service Unit Chorley	TBA
10024317	HM Prison Service Procurement Service Unit Leicester	TBA
10024316	HM Prison Service Procurement Service Unit Newport	TBA
10024314	HM Prison Service Procurement Service Unit Wakefield	TBA
10023613	HM Prison Service Shared Services	TBA
10005014	HM Prison Shepton Mallet	TBA
10008689	HM Prison Stafford	TBA
10003028	HM Prison Standford Hill	TBA
10003595	HM Prison Stocken	TBA
10001055	HM Prison Sudbury	TBA
10003029	HM Prison Swaleside	TBA
10005915	HM Prison Swansea	TBA
10002659	HM Prison The Mount	TBA
10001355	HM Prison The Verne	TBA
10002276	HM Prison Usk/Prescoed	TBA
10006647	HM Prison Wakefield	TBA
10008690	HM Prison Wandsworth	TBA
10004316	HM Prison Wayland	TBA
10006648	HM Prison Wealstun	TBA
10004230	HM Prison Wellingborough	TBA
10008691	HM Prison Whatton	TBA
10000540	HM Prison Whitemoor	TBA
10002422	HM Prison Winchester	TBA
10002024	HM Prison Wolds	TBA
10000441	HM Prison Woodhill	TBA
10008692	HM Prison Wormwood Scrubs	TBA
10003369	HM Prison Wymott	TBA
10002277	HM Prison Young Offenders Institute Gwent	TBA
10014200	HM Revenue & Customs	Non Ministerial Government Department
10008665	HM Treasury	Department
10000442	HM Young Offenders Institution Aylesbury	TBA
10003023	HM Young Offenders Institution Cookham Wood	TBA
10001501	HM Young Offenders Institution Deerbolt	TBA
10003596	HM Young Offenders Institution Glen Parva	TBA
10003365	HM Young Offenders Institution Hindley	TBA
10004669	HM Young Offenders Institution Huntercombe	TBA
10001500	HM Young Offenders Institution Low Newton	TBA
10004538	HM Young Offenders Institution Northallerton	TBA
10006403	HM Young Offenders Institution Onley	TBA
10001358	HM Young Offenders Institution Portland	TBA
10004895	HM Young Offenders Institution Stoke Heath	TBA
10027916	HM Young Offenders Institution Swinfen Hall	TBA
10000681	HM Young Offenders Institution Thorn Cross	TBA
10028103	HM Young Offenders Institution Warren Hill	TBA
10005108	HM Young Offenders Institution Werrington	TBA
10006650	HM Young Offenders Institution Wetherby	TBA
10034614	HMCTS	TBA
10035623	HMP Belfast	TBA
10033602	HMP Isle of Wight	TBA
10033603	HMP Sheppey Cluster	TBA
10051430	HMRC Digital Service	Executive Agency
10040350	HMS Daring	TBA
10040349	HMS Dragon	TBA
10029747	HMS Flying Fox	TBA
10040351	HMS Lancaster	TBA
10040352	HMS Portland	TBA
10040353	HMS Quorn	TBA
10040400	HMS Temeraire	TBA
10040378	HMS Vigilant	TBA
10008727	Home Grown Cereals Authority	NDPB
10040377	Home Headquarters Royal Highland	TBA
10008729	Home Office	Department
10019285	Home Office Scientific Development Branch	TBA
10025394	Homes and Communities Agency	TBA
10040323	Hornbill School	TBA
10008749	Horniman Public Museum and Public Park Trust	NDPB
10008753	Horserace Betting Levy Board	NDPB
10008754	Horserace Totalisator Board	TBA
10030788	Horsham County Court	TBA
10019947	Horticultural Development Council	NDPB
10003853	Hounslow Magistrates Court Committee	TBA
10008763	House of Commons	TBA
10008766	House of Lords	TBA
10051369	House of Lords Appointments Commission	Advisory non-departmental public body
10037157	Houses of Parliament	TBA
10051275	Housing Ombudsman	Executive non-departmental public body
10030789	Hove Trial Centre	TBA
10032696	Howe Barracks	TBA
10000543	HQ 12 Air Support Engineer Brigade	TBA
10027172	HQ 145 S Bde	TBA
10008776	HQ 4 Div	TBA
10008777	HQ 52 Infantry Brigade	TBA
10005995	HQ ATE SP MOD	TBA
10040355	HQ GÃ¼tersloh Garrison	TBA
10008778	HQ JS Mountain Training Centre	TBA
10040421	HQ Londist	TBA
10002431	HQ QMG	TBA
10002432	HQ RE TA	TBA
10040354	HQ SCE	TBA
10001361	HQ SOinC A	TBA
10013890	HQBFC	TBA
10002149	HQPTC	TBA
10013695	HR Service Delivery Modernisation	TBA
10035778	HS2 Limited	Public Corporation
10030790	Hull Magistrates Court	TBA
10008789	Human Fertilisation and Embryology Authority	NDPB
10036627	Human Resources Directorate	TBA
10032285	Humberside and South Yorks Army Cadet Force	TBA
10002040	Humberside Probation Trust	TBA
10051276	Immigration Enforcement	Sub-organisation
10008815	Imperial War Museum	NDPB
10008816	Imphal Barracks	TBA
10012527	IND Detention Service	TBA
10051277	Independent Advisory Panel on Deaths in Custody	Advisory non-departmental public body
10051278	Independent Agricultural Appeals Panel	Advisory non-departmental public body
10051279	Independent Anti-slavery Commissioner	Independent monitoring body
10051280	Independent Case Examiner	Other
10042051	Independent Chief Inspector of Borders and Immigration	None
10034302	Independent Commission for Aid Impact	TBA
10051281	Independent Commission on Freedom of Information	Advisory non-departmental public body
10051282	Independent Dormant Assets Commission	Advisory non-departmental public body
10051283	Independent Family Returns Panel	Other
10008818	Independent Housing Ombudsman	NDPB
10043219	Independent Inquiry into Child Sexual Abuse	Other
10020014	Independent Living Fund	NDPB
10023208	Independent Monitoring Boards of Prisons, Immigration, Removal Centres and Short Term Holding Rooms	TBA
10026911	Independent Parliamentary Standards Authority	TBA
10008820	Independent Police Complaints Commission	NDPB
10051284	Independent Reconfiguration Panel	Advisory non-departmental public body
10020012	Independent Review Service	NDPB
10051285	Independent Reviewer of Terrorism Legislation	Other
10051286	Industrial Development Advisory Board	Advisory non-departmental public body
10051287	Industrial Injuries Advisory Council	Advisory non-departmental public body
10014334	Information Centre for Health and Social Care	TBA
10000684	Information Commissioner's Office	Non Ministerial Government Department
10040412	Information Superiority Directorate	TBA
10051288	Infrastructure and Projects Authority	Sub-organisation
10026864	Infrastructure Planning Commission The	TBA
10029215	Infrastructure UK	TBA
10019935	Inland Waterways Advisory Council	NDPB
10008836	Inner London Magistrates Court Service	NDPB
10051289	Insolvency Practitioners Tribunal	Tribunal non-departmental public body
10051290	Insolvency Rules Committee	Advisory non-departmental public body
10008914	Institute of Food Research	TBA
10027759	INSTITUTE OF HEALTH and CARE DEVELOPMENT	TBA
10023557	Institute of Naval Medicine The	TBA
10051291	Intellectual Property Enterprise Court	Court
10002281	Intellectual Property Office	Executive Agency
10051292	Intelligence Analysis	Sub-organisation
10040360	Intelligence Information Solutions	TBA
10051293	Intelligence Services Commissioner	Other
10051294	Interception of Communications Commissioner	Other
10034628	International Fund For Ireland	TBA
10008861	International Maritime Organization	TBA
10025113	International Nuclear Services	NDPB
10004897	Interserve Defence	TBA
10005110	Interserve Defence Limited	TBA
10019979	Investigatory Powers Tribunal	TBA
10008874	Investors in People UK	NDPB
10025435	Ipswich County Court	TBA
10025916	Isleworth Crown Court	TBA
10041362	ISS Programmes Commercial	TBA
10015323	ITsafe	Executive Agency
10011377	ITSG	Executive Agency
10008922	JNCC Support Co	NDPB
10012372	Job Centre Plus	Executive Agency
10035702	John Innes Centre	TBA
10035750	Johnson Services	TBA
10040394	Joint Air Reconnaissance Intelligence Centre	TBA
10051370	Joint Forces Command	Sub-organisation
10040393	Joint Forces Intelligence Group	TBA
10025506	Joint Medical Command	TBA
10051295	Joint Nature Conservation Committee	Executive non-departmental public body
10032257	Joint Services Command and Staff	TBA
10040409	Joint Services Command and Staff College	TBA
10029315	Joint Services Sail Training Agency The	TBA
10008929	JSASTC	TBA
10008930	JSU FHS	TBA
10023201	Judicial Appointments and Conduct Ombudsman	TBA
10023209	Judicial Appointments Commission	NDPB
10015964	Judicial Committee of the Privy Council	TBA
10023196	Judicial Communications Office	TBA
10023195	Judicial Office	TBA
10036672	Judicial Policy Group	Executive Agency
10019917	Judicial Studies Board	NDPB
10023194	Judiciary of England and Wales	TBA
10032396	Kent and Sussex Prisons	TBA
10032397	Kent and Sussex Probation	TBA
10014997	Kent Probation Trust	TBA
10030641	Killowen Medical Centre	Health
10040391	King's Troop Royal Horse Artillery The	TBA
10027176	Kingston Magistrates Court	TBA
10027177	Kingston Upon Thames Crown Court	TBA
10029936	Kitchener Barracks	TBA
10030791	Knowsley Magistrates	TBA
10024967	Lake District National Park Authority	TBA
10051296	Lammy Review	Other
10009042	Lancashire Magistrates Court	NDPB
10018672	Lancashire Probation Trust	TBA
10002440	Land Based Test Site MOD	TBA
10051542	Land Forces	Other
10019919	Land Registration Rule Committee	NDPB
10008655	Land Registry	Executive Agency
10025359	Land Trust The	TBA
10042249	Land Warfare Centre	None
10014778	Landmarc Support Services	TBA
10018873	Law Commission	NDPB
10032272	Law Courts The	TBA
10027095	Learning and Skills Improvement Service	NDPB
10023958	Leasehold Advisory Service	NDPB
10030792	Leeds District Probate Registry	TBA
10025431	Leeds Magistrates Court	TBA
10040384	Leeds University Officers Training Corps TA	TBA
10040334	Legal Aid Agency	Executive Agency
10009084	Legal Services Commission	Executive Agency
10019921	Legal Services Consultative Panel	NDPB
10036671	Legal Services Consumer Panel	Executive Agency
10009085	Legal Services Ombudsman	Executive Agency
10028845	Leicester and Rutland Probation Trust	TBA
10009087	Leicester County Court	TBA
10030772	Leicester Crown Court	TBA
10030794	Leicester Magistrates Court	TBA
10003611	Leicestershire Magistrates Courts	NDPB
10009114	Lewisham Youth Offending Team	TBA
10035710	LG Standards Board	TBA
10015372	LGC PLC	TBA
10051746	Light Dragoons Home	TBA
10013307	Lincolnshire Magistrates Courts Service	TBA
10015297	Lincolnshire Probation Trust	TBA
10003981	Liverpool Magistrates Courts	NDPB
10020032	Living East	NDPB
10034387	Llanelli County Court	TBA
10024036	LLW Repository Limited	Public Corporation
10023650	Local Better Regulation Office	TBA
10009169	Local Government Boundary Commission for England	Executive Agency
10012375	Local Government Ombudsman	Non Ministerial Government Department
10035971	Logistic Services	TBA
10002446	Logistic Support Group	TBA
10006008	Logistic Support Unit	TBA
10044086	Logistics Services	TBA
10040370	Logistics Support Branch	TBA
10009179	Logistics Support Group	TBA
10001187	Logistics Support Technical Library	TBA
10037023	London and Continental Railways Ltd	TBA
10009213	London Community Rehabilitation Company Limited	TBA
10040424	London District Light Aid Detachment	TBA
10008287	London Forensic Science Laboratory	Executive Agency
10017921	London Organising committee of the Olympic and Paralympic Games	TBA
10041523	London River Services	Transport
10024884	London Thames Gateway Development Corporation	NDPB
10015343	London West Learning Skills Council	TBA
10030795	Loughborough Court House	TBA
10041989	Low Carbon Contracts Company	None
10019996	Low Pay Commission	NDPB
10006009	LPO	TBA
10004328	LSU RLC	TBA
10028610	MAA	TBA
10051297	Macur Review	Other
10013258	Magnox Limited	Magnox Family
10030796	Maidstone Crown Court	TBA
10051747	Manchester County Court Civil Justice Centre	TBA
10030797	Manchester Crown Court	TBA
10026589	Marine Accident Investigation Branch	TBA
10019941	Marine Management Organisation	Executive Agency
10020396	Maritime and Coastguard Agency	Executive Agency
10013051	Maritime Warfare Centre	TBA
10005022	Married Quarters Officer Rnas Yeovilton	TBA
10012512	Marshall Aid Commemoration Commission	NDPB
10051371	Medical Profession	Sub-organisation
10040365	Medical Reception Station Colchester	TBA
10009288	Medical Research Council	NDPB
10002450	Medical Supplies Agency	Executive Agency
10023951	Medicines and Healthcare Products Regulatory Agency	TBA
10027175	Medway County Court	TBA
10051298	Mercantile Court	Court
10021839	Merchant Navy Training Board	TBA
10003997	Merseyside Probation Trust	TBA
10000313	Met Office	Executive Agency
10021840	Metal Industry Skills and Performance	Other
10021117	Midland Rent Assessment Panel	TBA
10035752	Military Aviation Authority	TBA
10028611	Military Corrective Training Centre	Executive Agency
10009325	Military Engineering Services Works	TBA
10041790	Military Equipment Tool Solutions	TBA
10040413	Military Stabilisation Support Group	TBA
10042042	Military Strategic Plans	None
10020284	Milton Keynes and South Midlands Architecture and Built Environment Centre The	TBA
10014204	Ministry of Defence	Department
10020496	Ministry of Defence Babcock Services	TBA
10023224	Ministry of Defence DB LEARNING	TBA
10009338	Ministry of Defence DG RandT	TBA
10033679	Ministry Of Defence Director Financial Management	TBA
10002453	Ministry of Defence DLO Andover	TBA
10027363	Ministry Of Defence Ensleigh	TBA
10004907	Ministry Of Defence Esppa	TBA
10000124	Ministry Of Defence Foxhill	TBA
10001728	Ministry Of Defence G4 Estate Hq Land Company	TBA
10035057	Ministry of Defence HQ LAND	TBA
10020495	Ministry Of Defence Non BT DFTS	TBA
10001729	Ministry of Defence Police and Guarding Agency	TBA
10007860	Ministry of Justice	Department
10044023	Ministry of Justice HQ Estates	Executive Agency
10030247	Mod 207 Manchester Fd Hosp V	TBA
10002161	MOD 29 Regiment RLC	TBA
10001193	MOD 42 CDO Room	TBA
10005801	MOD Albermarle Barracks	TBA
10009345	MOD Bath	TBA
10027150	MOD Bhurtpore Barracks	TBA
10006017	MOD Boscombe	TBA
10029126	MOD Bristol NP-IPT	TBA
10009346	MOD Centre Block	TBA
10041253	MOD CPET Procurement Services	TBA
10015008	MOD DCSA Arncott	TBA
10006019	MOD DCSA DII	TBA
10000125	MOD Defence Estate	TBA
10031014	MOD Defence Estate York	TBA
10011446	MOD DGFM	TBA
10003871	MOD DR2f	TBA
10009347	MOD Engineering Library	TBA
10009344	MOD Ensleigh	TBA
10012020	MOD Hospital Unit	TBA
10002455	MOD HQ 1 MECH BDE	TBA
10004549	MOD HQ Land Command	TBA
10003872	MOD HQ London District	TBA
10021843	MOD Intelligence Collection Group	Executive Agency
10009355	MOD Interserve Defence Limited	TBA
10014251	MOD Joint Support Unit Corsham	TBA
10032230	MOD Kingstanding	TBA
10009348	MOD Leighton House	TBA
10009349	MOD Linguistic Services	TBA
10009350	MOD Military Works Force	TBA
10009354	MOD N	TBA
10042251	MOD Navy	None
10004683	MOD NPPO	TBA
10027286	MOD Police Marine Unit	TBA
10019026	MOD Research Acquisition Organisation	TBA
10009352	MOD Specialist Procurement Services	TBA
10022317	MOD St James House	TBA
10004908	MOD Telford	TBA
10009353	MOD UK DLO	TBA
10030248	Mod; 37 Section Sib Uk	TBA
10035715	MOJ and NOMS Transport Unit	TBA
10013140	Monitor	NDPB
10051299	Morecambe Bay Investigation	Other
10009393	Mowlem Aqumen Defence Services	TBA
10009394	MQES Rlc	TBA
10013630	MRC Epidemiology Unit	TBA
10035579	MSO Marine Boatyard	TBA
10019853	Museum of Culinary History and Alimentation	TBA
10009401	Museum Of London	NDPB
10003514	Museum of Science and Industry	NDPB
10023773	NAAFI	TBA
10009406	National Air Traffic Services Limited	Public Corporation
10036674	National Apprenticeship Service	Executive Agency
10005589	National Archives The	Executive Agency
10009407	National Army Museum	NDPB
10009409	National Audit Office	Non Ministerial Government Department
10039999	National Citizen Service	TBA
10004442	National College for Teaching and Leadership	NDPB
10018919	National Crime Agency	NDPB
10051372	National Crime Agency Remuneration Review Body	Other
10009420	National Crime Squad	NDPB
10002232	National Criminal Intelligence Service	NDPB
10051300	National Data Guardian	Other
10018724	National DNA Database Delivery Unit	TBA
10051301	National Employer Advisory Board	Advisory non-departmental public body
10029173	National Employment Savings Trust (NEST) Corporation	NDPB
10009422	National Endowment for Science Technology and the Arts	NDPB
10020037	National Film and Television School	TBA
10001061	National Forest Company	NDPB
10025161	National Fraud Authority	Executive Agency
10009425	National Gallery	NDPB
10020033	National Heritage Memorial Fund	NDPB
10051302	National Infrastructure Commission	Other
10002686	National Institute for Biological Standards and Control	Central Bodies
10009430	National Institute for Clinical Excellence	Support
10027930	National Institute for Health and Care Excellence	Central Bodies
10009431	National Institute For Medical Research	TBA
10024097	National Laboratory Service	TBA
10009434	National Lottery Commission	NDPB
10009435	National Maritime Museum	NDPB
10003874	National Measurement Office	Executive Agency
10006680	National Media Museum	NDPB
10019401	National Monuments and Record Centre	TBA
10009436	National Museum Of Science and Industry	NDPB
10025339	National Museum of Science and Industry North	TBA
10051303	National Museum of the Royal Navy	Executive non-departmental public body
10026171	National Museums Liverpool	NDPB
10025016	National Nuclear Laboratory	TBA
10011741	National Oceanography Centre Southampton	TBA
10024755	National Offender Management Peterborough	TBA
10022948	National Offender Management Service	TBA
10014190	National Physical Laboratory	TBA
10022371	National Policing Improvement Agency	NDPB
10009443	National Portrait Gallery	NDPB
10032704	National Probation Service	TBA
10023134	National Probation Service Staffordshire Area	TBA
10004552	National Railway Museum	NDPB
10009445	National Savings and Investments	Executive Agency
10051304	National security and intelligence	Sub-organisation
10024781	National Technical Assistance Centre	TBA
10007737	Natural England	NDPB
10024292	Natural Environment Research Council	NDPB
10009448	Natural History Museum	NDPB
10018801	Naval Aircraft Materials Laboratory	TBA
10000129	Naval Bases and Supply Agency	Executive Agency
10009449	Naval Party 2010 Rfa Diligence	TBA
10021848	Naval Recruiting and Training Agency	TBA
10001196	Naval Stores	TBA
10041299	NDPB1	Department
10021482	NERC sea Mammal Research Unit	TBA
10009455	Nesscliffe Training Camp	TBA
10035464	New Barracks Tenant Management	TBA
10016351	New Cambridge Civil Justice Court	TBA
10011632	New Deal for Communities	TBA
10014699	New Forest National Park Authority	Other
10030798	Newcastle Combined Court	TBA
10039824	Newcastle International Airport	Other
10035645	Newport Crown Court	TBA
10013309	NHS Appointments Commission	NDPB
10034345	NHS Blood And Transplant	TBA
10020054	NHS Business Services Authority	TBA
10036192	NHS Digital	Executive non-departmental public body
10038497	NHS England	Executive non-departmental public body
10024976	NHS Litigation Authority	Support
10051305	NHS Pay Review Body	Advisory non-departmental public body
10007731	NHS Professional standards Agency	NDPB
10038105	NHS Property Services	Health
10038487	NHS Trust Development Authority	Executive non-departmental public body
10009528	No 1 Military Training Establishment	TBA
10040361	No 4 School of Technical Training	TBA
10009527	No 8 Dental Group Radc HQ	TBA
10030262	Noms South East Region	TBA
10028846	Norfolk and Suffolk Probation Trust	TBA
10026706	Norfolk County Services Limited	TBA
10003877	North Atlantic Treaty Organisation	TBA
10013428	North Avon Magistrates Court	NDPB
10032406	North East Prisons	TBA
10032407	North East Probation	TBA
10014927	North Liverpool Community Justice Centre	TBA
10032410	North West Prisons	TBA
10032411	North West Probation	TBA
10032014	North Western Inshore Fisheries and Conservation Authority	TBA
10017952	North York Moors National Park Authority	Other
10051306	Northampton County Court Business Centre	Court
10024673	Northampton Magistrates Courts	TBA
10004252	Northamptonshire Partnership	TBA
10028847	Northamptonshire Probation Trust	TBA
10030524	Northcroft Medical Centre	Health
10030525	Northern Health and Social Services Board	Health
10033225	Northern Ireland Judicial Appointments Commission	TBA
10012384	Northern Ireland Office	Department
10004095	Northern Lighthouse Board	NDPB
10035071	Northern Oxford Magistrates Court	TBA
10009600	Northern Region Valuation Tribunals	Executive Agency
