Number of Bodies,Name,Department,Classification,PB Reform,Regulatory Function,Description/Terms of Reference,Notes,Address,Phone,Email,Website,Chair,Chair's Remuneration (p.a. unless otherwise stated),Chief Executive / Secretary,Chief Executive / Secretary Remuneration,Public Meetings,Public Minutes,Register of Interests,Ombudsman,Last Annual Report,Last Review,Government Funding,Total Gross Expenditure,Staff employed,Audit Arrangements,OCPA Regulated,Chair Ministerial or non-ministerial Appt,"Chair
Paid or unpaid","Chair
No.Male","Chair
No.Female","Chair
No.Gender Unknown/ undeclared","Members
Ministerial or non-ministerial Appt","Members
Paid or unpaid?","Members
No. Male","Members
No. Female","Members
No. Gender Unknown/ undeclared",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Independent Medical Expert Group,Ministry of Defence,Advisory NDPB,-,No,To provide advice and recommendations to Minister on the Armed Forces Compensation Scheme.,Established 2010 on an interim basis and as a permanent advisory NDPB in 2013.,"6.M.05 MOD Main Building, Whitehall, London SW1A 2HB",0207 218 2752,andrew.bates830@mod.uk,https://www.gov.uk/government/organisations/independent-medical-expert-group,Prof Sir Anthony Newman Taylor,£0,Andrew Bates,Civil Servant,No,No,No,N/A,2013-14,Due March 2015,£0,£0,0,-,Yes,Non-Ministerial,Unpaid,1,-,-,"5 Ministerial, 5 Non-Ministerial",Unpaid,8,2,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Independent Monitoring Board for the Military Corrective Training Centre,Ministry of Defence,Other NDPB,Retain,No,"The Independent Monitoring Board inspect the Military Corrective Training Centre at least twice a year and reports its findings to Ministers. It inspects, amongst other things, the condition of the premises and the treatment, health and welfare of detainees. The arrangements are very similar to those in place for civilian detention facilities in the UK.",Established 1979.,"MCTC, Berechurch Hall Road, Colchester, ESSEX, CO2 9NU.",07850 642345,graham.cross@gmail.com,http://www.army.mod.uk/agc/provost/31946.aspx,Graham Cross,£0,David Smith,£0,No,No,No,N/A,2012-13,2010 (informal),£0,"£2,500",1,NAO,Yes,Ministerial,Unpaid,1,-,-,Ministerial,Unpaid,6,7,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,"Independent Monitoring Boards of Prisons, Immigration Removal Centres and Short-Term Holding Rooms (x132)",Ministry of Justice,Other NDPB,Retain,No,Independent Monitoring Boards are appointed by the Secretary of State under Section 6 of the Prisons Act 1952 or section 152 of the Immigration and Asylum Act 1999 as appropriate.  They act as independent ÔwatchdogsÕ and their duty is to satisfy themselves as to the treatment of prisoners/detainees and the administration and state of the premises.,Each Board produces its own Annual Report.  Triennial Review due to take place in 2015.,"9th Floor, The Tower, 102 Petty France, London, SW1A 9AJ",020 3334 3265,imb@justice.gsi.gov.uk,http://www.justice.gov.uk/about/imb,Multiple (and a National Council President),£0,Civil Servant Secretariat,Civil Servant,No,No,No,-,2013,"Review of governance completed, report sent out to members September 2014","£2,027,680","£2,027,680",16,-,Yes,Ministerial,Unpaid,67,57,-,Ministerial,Unpaid,755,721,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Independent Police Complaints Commission,Home Office,Executive NDPB,Retain,No,The Independent Police Complaints Commission (IPCC) has a dual purpose to act as an overall guardian ensuring the effectiveness and efficiency of the operation of the whole police complaints system and to also take a role in individual cases.,"The IPCC has ten operational Commissioners, three non-executive Commissioners and a non-executive Chair. Commissioners are subject to the terms of Schedule 2 of the Police Reform Act 2002. ","90 High Holborn, London WC1V 6BH",'0300 020 0096,enquiries@ipcc.gsi.gov.uk,http://www.ipcc.gov.uk/,Dame Anne Owers,"£60,000",Lesley Longstone,"£135,000-£139,999",Yes,Yes,Yes,N/A,2013-14,2010,"£57,000,000","£54,000,000",774,NAO,Yes,Crown appointment on recommendation of the Home Secretary,Paid,-,1,-,Ministerial,Paid,5,8,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Independent Reconfiguration Panel,Department of Health,Advisory NDPB,Retain,No,"To advise the Secretary of State for Health on contentious proposals for changes to NHS services. To offer support and generic advice to the NHS, local authorities and other interested bodies involved in NHS service reconfiguration.","CE Remuneration reflects working part year at 3 days a week and part year at 1 day a week.
CE will revert back to 3 days per week from January 2016.
Total Gross Expenditure reflects a lower than planned/expected  number of reviews undertaken in 2014/15.
IRP members are not salaried, they are paid £140 a day plus expenses for travel and subsistence whenever they carry out IRP work.
","6th Floor, 157 - 197 Buckingham Palace Road SW1W 9SP",020 7389 8045,info@irpanel.org.uk,http://www.irpanel.org.uk/,Bernard Ribeiro,"£36,780
",Richard Jeavons,"£74,700",Yes,Yes,Yes,PHSO,2013,2010 (though performance is reviewed annually by sponsor branch),"£504,000","£296,900",2,-,Yes,Ministerial,Paid,1,-,-,Ministerial ,Unpaid,5,10,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Industrial Development Advisory Board,"Department for Business, Innovation and Skills",Advisory NDPB,Retain,No,The Industrial Development Advisory Board advises Ministers on applications from companies who are proposing to undertake investment projects in England and have applied for financial assistance under the Regional Growth Fund scheme; it also advises on proposed new schemes.,Established in 1972. The activities of the Industrial Development Advisory Board are included in an annual report to Parliament on the exercise of powers under the Industrial Development Act 1982. Current report is available at:                                                                                                                                                            http://www.official-documents.gov.uk/document/hc1314/hc04/0449/0449.pdf,"4th Floor, 1 Victoria Street, London SW1H 0ET",020 7215 4373,mary.covington@bis.gsi.gov.uk,https://www.gov.uk/government/organisations/industrial-development-advisory-board,Paul Mullins,£0,Duncan Budd,Civil Servant,No,No,Yes,PHSO,2013-14,2012,£0,£0,0,-,Yes,Ministerial,Unpaid,1,-,-,Ministerial,Unpaid,7,3,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Industrial Injuries Advisory Council,Department for Work and Pensions,Advisory NDPB,Retain,No,"To advise DWP Ministers on matters relating to the Industrial Injuries Scheme and its administration. In particular, which diseases and occupations should give entitlement to Industrial Injuries Disablement Benefit and advising on any draft regulations relating to the Scheme.",Established 1948.  DWP provide a secretariat equivalent of 2.4 Full-time staff.,"Zone C, 1st Floor, Caxton House, Tothill Street, London, SW1H 9NA",020 7449 5618,iiac@dwp.gsi.gov.uk,http://iiac.independent.gov.uk/,Professor Keith Palmer,"£0-5,000 ",Rebecca Murphy / Annette Loakes (Job Share),Civil Servant,Yes,Yes,Yes,-,2013-14,2012,"£40,000","£35,000",0,N/A,Yes,Ministerial,Paid,1,-,-,Ministerial,Paid,11,3,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Information CommissionerÕs Office,Ministry of Justice,Executive NDPB,Retain,Yes,"The Information CommissionerÕs Office is the UKÕs independent authority set up to uphold information rights in the public interest, promoting openness by public bodies and data privacy for individuals.",Established as the Data Protection Registrar by the Data Protection Act 1984 and renamed Information Commissioner in 2001 in accordance with the Freedom of Information Act 2000.  Receives grant-in-aid from the Ministry of Justice for its Freedom of Information activities. Data Protection is funded by notification fees received from individuals and organisations that process personal data. Has undergone a Triennial Review.,"Wycliffe House, Water Lane, Wilmslow, Cheshire, SK9 5AF",0303 123 1113,-,http://www.ico.org.uk/,-,-,Christopher Graham (Information Commissioner),"£140,000-145,000",No,Yes,Yes,PHSO,2013-14,-,"£3,700,000","£21,557,000",368,NAO,Yes,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Innovate UK (formerly the Technology Strategy Board),"Department for Business, Innovation and Skills",Executive NDPB,Retain,No,"Research into, and the development and exploitation of, science, technology and new ideas for the benefit of those engaged in business activities with the aim of increasing economic growth and improving quality of life.","Established 2007. Government funding includes grant-in-aid and co-funding. Chair and one Board Member donate their remuneration to charitable organisations via payroll ""just giving"".","Block A, Floor 1, North Star House, North Star Avenue, Swindon, SN2 1UE",01793 442700,enquiries@innovateuk.gov.uk,https://www.gov.uk/government/organisations/innovate-uk,Phil Smith,"£15,720",David Grant (interim),"£27,000 (for four months)",No,No,Yes,PHSO,2013-14,2013,"£687,529,000","£655,619,000",335,NAO,Yes,Ministerial,-,1,-,-,Ministerial,Paid,7,3,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Insolvency Practitioners Tribunal,"Department for Business, Innovation and Skills",Tribunal NDPB,No longer an NDPB,No,"To hear referrals from individuals and insolvency practitioners authorised to act by the Secretary of State in respect of refusal to grant, or the intention to withdraw, a license to act.",Established 1986.  The tribunal is to be abolished once the SoSÕs direct authorising role goes in October 2016. ,"4 Abbey Orchard Street, London, SW1P  2HT",020 7637 6568,David.Swarts@insolvency.gsi.gov.uk,-,Chairs drawn from panel of potential chairs for each individual case,£0,-,-,No,No,No,-,-,2000,£0,£0,0,-,No,Non-Ministerial,0,0,0,-,Non-ministerial,0,0,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Insolvency Rules Committee,Ministry of Justice,Advisory NDPB,Retain,No,The Insolvency Rules Committee is appointed under section 413 of the Insolvency Act 1986 so that the Lord Chancellor may consult it before making any rules under section 411 (company insolvency rules) or section 412 (individual insolvency rules) of the Act.  The Committee consists of members of the legal and accountancy professionals.  ,"Established 1976 and re-constituted 1986.  The Chair and members are unremunerated, although they can claim expenses.  The Insolvency Service provides the Secretariat.","4 Abbey Orchard Street, London, SW1P 2HT",0207 291 6744,Policy.Unit@insolvency.gsi.gov.uk,http://www.bis.gov.uk/insolvency,His Honour Mr Justice Richards,£0,Dean Beale,Civil Servant,No,No,No,-,-,2010,£0,£0,0,-,Yes,Non-ministerial,Unpaid,1,-,-,6 ministerial / 3 non-ministerial,Unpaid,4,5,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Insolvency Service,"Department for Business, Innovation and Skills",Executive Agency,-,Yes,"Responsible for administration and oversight of the UK's insolvency regime, including regulation of private sector practitioners' authorising bodies",Richard Judge CEO from 01/04/14 to 07/11/14. Graham Horne: interim CEO from 10/11/14 to 30/01/15 . Sarah Albon CEO from 02/02/15,"4 Abbey Orchard Street, London SW1P 2HT",020 7637 1110,-,https://www.gov.uk/government/organisations/insolvency-service,David Ereira,"£12,000",Sarah Albon,"£100,000 - £105,000
per annum",No,Yes,Yes,PHSO,2013-14,-,"£49,304,000","£99,613,000","1,476",NAO,No,Non Ministerial,Paid,1,-,-,-,Paid (excluding the 2 BIS NEDs),2,3,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Intellectual Property Office,"Department for Business, Innovation and Skills",Executive Agency,-,No,"Responsible for intellectual property rights in the UK, including patents, designs, trade marks and copyright. It can help you get the right type of protection for your creation or invention","Established 1852, Intellectual Property Office became the operating name of Patent Office April 2007.  John Alty was seconded to BIS during the report period; remuneration shown is full year salary.","Concept House, Cardiff Road, Newport, South Wales, NP10 8QQ",0300 300 2000,information@ipo.gov.uk,http://www.ipo.gov.uk/,Bob Gilbert,"£10,000",John Alty,"£135,000-140,000",No,Yes,Yes,PHSO,2013-14,-,£0,"£75,694,000","1,047",NAO,No,Ministerial,Paid,1,-,-,Ministerial,Paid,4,1,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Investigatory Powers Tribunal,Home Office,Tribunal NDPB,Retain,Yes,A statutory body established to consider proceedings bought under  Section 7 of the Human Rights Act 1998 (HRA) against the intelligence services and certain public authorities in respect of their investigatory powers and conduct. To investigate complaints regarding actions by those intelligence services and public authorities who hold powers under the Regulation of Investigatory Powers Act 2000 to ascertain whether they have used those powers lawfully.  ,"The Investigatory Powers Tribunal was established by virtue of Section 65 of RIPA. The Tribunal assumed the jurisdictions previously held by Interception of Communications Tribunal, the Security Service Tribunal, the Intelligence Services Tribunal and the complaints function of the Commissioner appointed under the Police Act 1997. The President is paid expenses only. Departmental sponsorship costs are not separately identifiable in Home Office accounts. ","PO BOX 33220, London, SW1H 9QZ",020 7035 3711,info@ipt-uk.com,http://www.ipt-uk.com/,Mr Justice Burton,£0,Stephen Wilkins (Secretary),Civil Servant,No,No,No,N/A,2010-11,2009,£0,£0,3,N/A,No,Ministerial,Unpaid,1,-,-,Non-ministerial,Paid,7,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Joint Nature Conservation Committee,"Department for Environment, Food and Rural Affairs",Executive NDPB,Retain,No,JNCC is the public body that advises the UK Government and devolved administrations on UK-wide and international nature conservation,Established in 1990 - reconstituted in 2006.  Chair's remuneration is based on two days per week.,"Monkstone House, City Road, Peterborough, PE1 1JY",01733 562626,comment@jncc.gov.uk,http://jncc.defra.gov.uk/,Professor Chris Gilligan,"£40,000-£50,000",Marcus Yeo,"£90,000-£100,000",Yes,Yes,Yes,PHSO,2013-14,2013,"£10,665,000","£10,665,000",169,NAO,Yes,Ministerial,Paid,1,0,0,"8 non-Ministerial, 5 Ministerial",5 Paid,9,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Judicial Appointments Commission,Ministry of Justice,Executive NDPB,Retain,No,"The Judicial Appointments Commission is an independent commission that selects candidates for judicial office in courts and tribunals in England and Wales, and for some tribunals whose jurisdiction extends to Scotland or Northern Ireland.","Established 2006.  Chair is part time (0.6 FTE). Triennial Review conducted on 2014 concluded the JAC should continue to deliver its function independently of the Executive, and the Judiciary, as an Non-Departmental Public Body (NDPB). Government funding includes £1,400k non cash charges in respect of services provided by MoJ.","1st Floor , 102 Petty France, London, SW1H 9AJ",020 3334 0123,jaas@jac.gsi.gov.uk,http://jac.judiciary.gov.uk/,Christopher Stephens,"£60,000-65,000",Nigel Reeder,"£80,000-85,000",No,Yes,Yes,Judicial Appointments and Conduct Ombudsman,2013-14,2014,"£5,400,000","£5,443,000",51,NAO,Yes,Non-ministerial,Paid,1,-,-,"3 non-Ministerial
10 Ministerial",3 unpaid / 10 paid,6,7,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Land Registration Rule Committee,"Department for Business, Innovation and Skills",Advisory NDPB,Retain,No,The LRRC advises and assists in the making of Land Registration Rules and Land Registration Fee Orders and draft amendments for the Secretary of State under the Land Registration Act 2002.,"Established 2002. TR completed March  2015, review recommended that the LRRC remain as an NDPB.","HM Land Registry, Trafalgar House, 1 Bedford Park, Croydon CR0 2AQ",0300 006 7127,Carol.Gurajena@landregistry.gsi.gov.uk,http://www.landregistry.gov.uk/professional/law-and-practice/act-and-rules/land-registration-rule-committee,Mr Justice Morgan,£0,Carol Gurajena,Civil Servant,No,Yes,No,-,-,2015,£0,£0,0,-,No,Ministerial,Unpaid,1,-,-,"1 Ministerial, 6 Non-Min ",Unpaid,5,2,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Law Commission of England and Wales,Ministry of Justice,Advisory NDPB,Retain,No,"The Law Commission is a statutory independent body. It was created to keep the law under review and, where necessary, to recommend reform of the law to Government. The Law CommissionÕs aims are to ensure that the law is as fair, modern, simple and as cost-effective as possible. It reviews areas of the law that have become unduly complicated, outdated or unfair. It conducts research and consultation in order to: (1) make systematic recommendations for consideration by Parliament; (2) codify the law; (3) eliminate anomalies; (4) repeal obsolete and unnecessary enactments; and (5) reduce the number of separate statutes. The functions of the Law Commission are set out in two Acts, Law Commissions Act 1965 and Law Commission Act 2009.",Established by the Law Commissions Act 1965.,"1st Floor, Tower, 52 Queen Anne's Gate, London SW1H 9AG",0203 334 0200,enquiries@lawcommission.gsi.gov.uk,http://lawcommission.justice.gov.uk/,The Rt Hon. Lord Justice Bean,£0,Elaine Lorimer,Civil Servant,No,Yes,Yes,PHSO,2013-14,2013,"£3,759,568","£3,759,568",51,NAO,Yes,Ministerial,Unpaid,1,-,-,4 ministerial,Paid ,3,1,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Leasehold Advisory Service, The",Department for Communities and Local Government,Executive NDPB,Retain,No,To provide front line advice service on residential leasehold law and rights in England & Wales and on Park Homes.,Established under company Law in 1994. Classified as a public body in 2005. Triennial review in progress 2014/15.,"Fleetbank House, 2-6 Salisbury Square, London EC4Y 8JX",020 7832 2500,info@lease-advice.org,http://www.lease-advice.org/,Roger Southam ,£220 (per day) for 24 days,Anthony Essien,"£74,792.00",Yes,Yes,Yes,PHSO,2013-14,"2010/11
","£1,044,000","£1,423,000",21,MacIntyre Hudson LLP,Yes,Ministerial,Paid,1,-,-,Ministerial,Paid,3,2,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Legal Aid Agency,Ministry of Justice,Executive Agency,-,No,The Legal Aid Agency's role is to deliver legal aid efficiently and effectively as part of the justice system.,"Established April 2013 following the abolition of the Legal Services Commission as a result of the Legal Aid, Sentencing and Punishment of Offenders (LASPO) Act 2012, principally to improve clarity of accountability for and control of expenditure on legal aid. Government Funding (supply funding from the MoJ including £29,953k non cash charges in respect of services provided by the MoJ). ","102 Petty France, London SW1H 9AJ  ",020 3334 3555,general.queries@justice.gsi.gov.uk,https://www.gov.uk/government/organisations/legal-aid-agency,CEO,N/A,Matthew Coats,"£140,000 -145,000",No,No,Yes,PHSO,2013-14,N/A,"£1,774,414,000","£1,894,425,000","1,461",NAO,Yes,Non-ministerial,Paid,1,-,-,165 non-ministerial,165 paid,125,40,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
