Count,Name,Department,Classification,PB13 Entry,PB Reform,Regulatory Function,Description / Terms of Reference,Notes,Address,Phone,email,Website,Chair,Chair's Remuneration (p.a. unless otherwise stated),Chief Executive / Secretary,Chief Executive / Secretary Remuneration,Public Meetings,Public Minutes,Register of Interests,Ombudsman,Last Annual Report,Last Review,Government Funding,Total Gross Expenditure,Staff employed,Audit Arrangements,OCPA Regulated,Chair Ministerial or non-ministerial Appt,Chair Paid or unpaid,Chair Male?,Chair Female?,Chair Gender Unknown/ undeclared?,Board Members Ministerial or non-ministerial Appt,Board Members Paid or unpaid,Male Board Members,Female Board Members,Gender Unknown/ undeclared Board Members,No. Bodies
1,Pension Protection Fund Ombudsman,Department for Work and Pensions,Tribunal NDPB,FULL,Merge,No,To investigate and decide on complaints about the way cases have been handled by the Board of the Pension Protection Fund,"Established April 2005. To be merged with the Pensions Ombudsman.  Remuneration, staff and financial information is included under the Pensions Ombudsman entry.","6th Floor, 11 Belgrave Road, London, SW1V 1RB",020 7630 2200,enquiries@pensions-ombudsman.org.uk,http://www.ppfo.org.uk/,-,-,Tony King - Ombudsman,see Pensions Ombudsman,No,No,Yes,PHSO (administration matters only),2013-14,2014,-,-,0,NAO,Yes,0,0,0,0,0,0,0,0,0,0,1
1,"Pensions Advisory Service, The",Department for Work and Pensions,Executive NDPB,FULL,Retain,No,To provide an independent and free information and guidance service to members of the public who have a query or complaint on a private pensions matter,Established 1983. A company limited by guarantee. ,"11 Belgrave Road, London, SW1V 1RB",0300 123 1047,enquiries@pensionsadvisoryservice.org.uk,http://www.pensionsadvisoryservice.org.uk/,Partha Dasgupta,"£30,000",Michelle Cracknell,"£100,000",No,No,Yes,-,2013-14,2014,"£3,353,269","£3,301,750",40,NAO,Yes,Ministerial,Paid,1,0,0,6 Non-Ministerial ,6 Paid,2,4,0,1
1,Pensions Ombudsman,Department for Work and Pensions,Tribunal NDPB,FULL,Merge,No,To investigate and decide on complaints and disputes concerning occupational and personal pension schemes. The Ombudsman is completely independent and acts as an impartial adjudicator.,Established April 1991. To be merged with the Pensions Protection Fund Ombudsman.  Appointment information for the Pension Ombudsman is also shown under the Pension Protection Fund Ombudsman entry.,"6th Floor, 11 Belgrave Road, London SW1V 1RB",020 7630 2200,enquiries@pensions-ombudsman.org.uk,http://www.pensions-ombudsman.org.uk/,-,-,Tony King - Ombudsman,"£129,579",No,No,Yes,PHSO (administration matters only),2013-14,2014,"£3,179,000","£3,172,096",38,NAO,Yes,0,0,0,0,0,Ombudsman -Ministerial,Paid,1,0,0,1
1,Pensions Regulator,Department for Work and Pensions,Executive NDPB,FULL,Retain,Yes,"To protect the benefits of members of work based pensions schemes, to reduce the risk of situations arising that may lead to claims for compensation from the Pension Protection Fund, to maximise employer compliance with duties and safeguards and in relation to detained benefits schemes to minimise the adverse effects of regulatory activity on the sustainable growth of employers.",Established April 2005.  ,"Napier House, Trafalgar Place, Brighton, East Sussex, BN1 4DW",0845 etc,customersupport@thepensionsregulator.gov.uk,http://www.thepensionsregulator.gov.uk/,Michael O'Higgins,"£57,000",Vacant-Interim CEO Stephen Soper,"£210,000 - £215,000",No,Yes,Yes,PHSO,2013-14,2014,"£56,883,000","£54,419,000",536,NAO,Yes,Ministerial,Paid,1,0,0,Ministerial,Paid,7,2,0,1
1,Remploy Ltd,Department for Work and Pensions,Executive NDPB,FULL,Retain,No,Remploy's mission is to transform the lives of disabled people and those experiencing complex barriers to work by providing sustainable employment opportunities,"The figures for 2013/14 are not yet available. Government funding includes Grant-in-Aid, contract payments, modernisation funding and transition costs not all of which will have been spent in 12/13. Figures shown are the audited figures in Remploy's accounts. Remploy has dual status as an Executive NDPB and a Public Corporation. The Chair has elected not to draw remuneration.","Remploy Ltd, 18c Meridian East, Meridian Business Park, Leicester LE19 1WZ",0845 155 2700,info@remploy.co.uk,http://www.remploy.co.uk/,Ian Russell,-,Beth Carruthers,"£125,000",No,No,Yes,PHSO,2013,2011,-,-,1047,Deloitte,Yes,Ministerial,Paid ,1,0,0,Ministerial,Paid ,4,1,0,1
1,Social Security Advisory Committee,Department for Work and Pensions,Advisory NDPB,FULL,Retain,No,Provides advice to the Secretary of State on proposals for the amendment of secondary legislation and on general social security matters as required. ,Established 1980.  Paul Gray has been Chair from Aug 2012 (Interim Chair from Nov 2011),"5th Floor, Caxton House, Tothill Street, London SW1H 9NA.",020 7829 3354,ssac@dwp.gsi.gov.uk,http://gov.uk/SSAC,Paul Gray,"£22,000",Denise Whitehead,Civil Servant,No,Yes,Yes,PHSO,2013-14,2012,"£323,088","£340,000",5,-,Yes,Ministerial,Paid,1,0,0,Ministerial ,Paid,8,3,-,1
1,Civil Nuclear Police Authority,Department of Energy and Climate Change,Executive NDPB,FULL,Retain,No,"CNPA has oversight of, and employs, the Civil Nuclear Constabulary, a dedicated armed response capability for designated civil nuclear sites and designated nuclear material. ",Established 2005.  The CNPA Chair's remuneration is calculated on the basis that he works three days a week.   The Chair and three members are public appointments.  Four other members are ex-officio appointments representing the nuclear industry.  Triennial Review began in 2014. ,"Civil Nuclear Police Authority, c/o Constabulary Headquarters, F6  Culham Science Centre, Abingdon, OX14 3DB",01235 466861,info@cnpa.pnn.police.uk,https://www.gov.uk/government/organisations/civil-nuclear-police-authority,General Sir Philip Trousdell,"£67,500","Chief Constable, Brigadier Michael Griffiths CBE, ADC","£127,000",No,No,Yes,Independent Police Complaints Commission (for England & Wales).  Police Investigations & Review Commissioner (for Scotland),2012-13,2010,-,-,1378,NAO,Yes,Ministerial,Paid,1,0,0,7 Ministerial,3 Paid/4 unpaid,7,0,0,1
1,Coal Authority,Department of Energy and Climate Change,Executive NDPB,FULL,Retain,Yes,The Coal Authority works to protect the public and the environment in coal mining areas. It manages the effects of past coal mining in order to promote public safety and safeguard the landscape now and for future generations.,Established 1994.  CE remuneration is 12/13 salary.  Triennial Review began 2013.,"200 Lichfield Lane, Mansfield, Nottinghamshire, NG18 4RG",01623 637 000,thecoalauthority@coal.gov.uk,http://coal.decc.gov.uk/,Mr Stephen Dingle,"£27,050",Philip Lawrence,"£121,578",Yes,Yes,Yes,PHSO,2013-14,-,"£27,000,000","£40,628,000",158,NAO,Yes,Ministerial,Paid,1,0,0,4 Ministerial,Paid,3,1,0,1
1,Committee on Climate Change,Department of Energy and Climate Change,Executive NDPB,FULL,Retain,No,The CCC was established under the Climate Change Act 2008 to advise the Government on emissions targets and to report to Parliament on progress made in reducing greenhouse gasses. The Adaptation Sub-Committee was formed in June 2009 and provides independent advice to the Government on preparing for climate change.,"Established 2008.  The Members appointments information includes 6 appointments to the Adaptation Sub Committee, a sub-committee of the CCC.  Chair's remuneration is based on 3 days/month for the first year of appointment up to Sep 13 and 2 days/month thereafter.  The CEs remuneration is determined by the Committee. This is on the basis of a performance evaluation by the Chair, and inter alia on recommendations by the Senior Salaries Review Body regarding Senior Civil Service pay. Up to 9% of the Chief Executives remuneration is subject to performance conditions. It is measured against delivery of objectives set by the Committee at the beginning of the year and is only triggered if all main performance targets are exceeded. Matthew Bell has been appointed as the new permanent Chief Executive and will start his role in early November 2014. Triennial review began 2013.","7 Holbein Place, London, SW1W 8NR ",020 7592 1553,enquiries@theccc.gsi.gov.uk,http://www.theccc.org.uk/,Lord Deben,"£1,000 per day",Adrian Gault (acting Chief Executive). ,"£115,000-£120,000",No,Yes,Yes,PHSO,2013-2014,2014,"£3,726,000","£3,711,661",30.23,NAO,Yes,Ministerial,Paid,1,0,0,13 Ministerial,Paid,0,0,13,1
1,Committee on Radioactive Waste Management,Department of Energy and Climate Change,Advisory NDPB,FULL,Retain,No,"CoRWMs primary task is to provide independent scrutiny on the Governments (including Devolved Administrations) and Nuclear Decommissioning Authority's (NDA's) proposals, plans and programmes to deliver geological disposal, together with robust interim storage, as the long-term management option for the UKs higher activity wastes.",CoRWM was set up by Government in 2003. The Committee was reconstituted in October 2007 with new membership and its current Terms of Reference. The Chairs remuneration is based on up to 1.5 days per week.,"CoRWM Secretariat, Room M09, 55 Whitehall, London, SW1A 2EJ",0300 068 6156,corwm@decc.gsi.gov.uk,https://www.gov.uk/government/organisations/committee-on-radioactive-waste-management,Prof. Laurence Williams,£450 per day,-,-,Yes,Yes,Yes,PHSO,2013-14,2012,"£375,000","£268,000",-,-,Yes,Ministerial,Paid,1,0,0,12 Ministerial,Paid,8,4,0,1
1,Fuel Poverty Advisory Group,Department of Energy and Climate Change,Advisory NDPB,FULL,Retain,No,The Fuel Poverty Advisory Group's primary tasks are to consider and report on the effectiveness of current policies aiming to reduce fuel poverty; to consider and report on the case for greater co-ordination; to identify barriers to reducing fuel poverty and to developing effective partnerships and to propose solutions; to consider and report on any additional policies needed to reduce fuel poverty; to encourage key organisations to tackle fuel poverty; and to consider and report on the results of work to monitor fuel poverty. ,Established 2002.  Triennial Review began 2012.  Membership is made up of 17 ex-officio organisations.,"FPAG Secretariat, Area 2E, 3 Whitehall Place, SW1A 2AW",0300 068 5156 or 0300 068 5153,fpag@decc.gsi.gov.uk,https://www.gov.uk/government/organisations/the-fuel-poverty-advisory-group,Derek Lickorish,£0,-,-,No ,No,Yes,PHSO,2012-13,"£2,014.00",-,"£6,678",-,-,Yes,Ministerial,Unpaid,1,0,0,0,0,0,0,0,1
1,Nuclear Decommissioning Authority,Department of Energy and Climate Change,Executive NDPB,FULL,Retain,No,"The Nuclear Decommissioning Authority's mission is to ensure that the historic civil, public sector, nuclear legacy sites are decommissioned safely, securely, cost effectively and in ways that protect the environment. ",Established 2005.  John Clarke became Chief Executive in April 2012.  The staff employed figure is an average figure.,"Herdus House, Westlakes Science and Technology Park, Moor Row, Cumbria, CA24 3HU",01925 802001,enquiries@nda.gov.uk,http://www.nda.gov.uk/,Stephen Henwood,"£170,000",John Clarke,"£547,821",Yes,Yes,Yes,PHSO,2013-14,2011,"£3,200,000,000","£3,200,000,000",202,NAO,Yes,Ministerial,Paid,1,0,0,"6 Ministerial, 3 non-Ministerial",Paid,8,1,0,1
1,Nuclear Liability Financing Assurance Board,Department of Energy and Climate Change,Advisory NDPB,FULL,Retain,No,"Nuclear Liability Financing Assurance Board (NLFAB) is a small advisory body set up to provide impartial scrutiny and advice on the suitability of the Funded Decommissioning Programme, submitted by  operators of new nuclear power stations. The Board advises the Secretary of State on the financial arrangements that operators submit for approval, and on the regular review and ongoing scrutiny of funding.","Established 2009.  Co-sponsored and funded by Ministry of Justice, Department of Health and Home Office. The annual report is included DECC's annual report. ","NLFAB Secretariat, Office for Nuclear Development, 55 Whitehall, London SW1A 2EY",0300 068 5838,nlfab@decc.gsi.gov.uk,https://www.gov.uk/government/organisations/nuclear-liabilities-financing-assurance-board,Lady Janet Balfour of Burleigh,£750 per day,-,-,No,Yes,Yes,PHSO,2013-14,2014,"£48,000","£54,929",7,-,Yes,Ministerial,Paid,0,1,0,"2 Minsterial, 2 EDF appointees",Paid,4,0,0,1
1,Administration of Radioactive Substances Advisory Committee,Department of Health,Advisory NDPB,FULL,Retain,Yes,"To advise Health Ministers with respect to the grant, renewal, suspension, revocation and variation of certificates and generally in connection with the system of prior authorisation required by Article 5(a) of Council Directive 76/579/Euratom. This has been superceded by the Basic Safety Standard Directive  for radiation protection 059/2013 but not yet implemented into UK law.",The Committee was established in 1979. Secretariat provided by Public Health England.  Funding subsumed in PHE core funds.  Members are appointment by Health Ministers.  This is a Statutory Advisory Committee.,"ARSAC Support Unit, Centre for Radiation, Chemical and Environmental Hazards, Public Health England, Chilton, Didcot, Oxon, 0X11 0RQ",01235 825006/825007,arsac@phe.gov.uk,http://www.arsac.org.uk/,Dr John Rees,£0,Mr Steve Ebdon-Jackson,£0,No,No,Yes,PHSO,2008,2010,£0,£0,0,-,Yes,Ministerial,Paid,0,1,0,7 Ministerial,Paid,5,2,0,1
1,Advisory Committee on Clinical Excellence Awards,Department of Health,Advisory NDPB,FULL,Retain,No,Advisory Committee on Clinical Excellence Awards administers the National Clinical Excellence Awards Scheme and oversees Local Schemes which are run by local NHS employers. It advises Ministers on which consultants should receive new National Awards and whether existing award holders have provided satisfactory evidence for renewal.,Secretariat is provided by the Department of Health.,"6th Floor, North side, Wellington House,  133-155 Waterloo Road, London SE1 8UG",020 7972 4608,martin.sturges@dh.gsi.gov.uk,https://www.gov.uk/government/organisations/advisory-committee-on-clinical-excellence-awards,Mr Bill Worth,"£52,540",-,-,No,Yes,Yes,PHSO,2011,2010,£0,£0,0,-,Yes,Ministerial,Paid,1,0,0,Ministerial,Paid,0,1,0,1
1,British Pharmacopoeia Commission,Department of Health,Advisory NDPB,FULL,Retain,No,"To publish any new editions of and/or amendments to the British Pharmacopoeia and British Pharmacopoeia (Veterinary), together with the establishment and publication of British Approved Names.",-,"151 Buckingham Palace Road (5th Floor), London, SW1W 9SZ",020 3080 6561,bpcom@mhra.gsi.gov.uk,http://pharmacopoeia.com,Professor Kevin Taylor,£500 per meeting,Dr Samantha Atkinson ,Civil Servant,No,Yes,Yes,PHSO,2013,2010,£0,£0,0,-,Yes,Ministerial,Paid,1,0,0,Ministerial,Paid,14,2,0,1
1,Care Quality Commission,Department of Health,Executive NDPB,FULL,Retain,Yes,"The purpose of Care Quality Commission is to make sure health and social care services provide people with safe, effective, compassionate, high quality care and to encourage care services to improve.  Its role is to monitor, inspect and regulate services to make sure they meet fundamental standards of quality and safety and to publish what it finds, including performance ratings to help people choose care.   ",-,"Finsbury Tower, 103 - 105 Bunhill Row, London EC1Y 8TG",03000 616161,enquiries@cqc.org.uk,http://www.cqc.org.uk/,David Prior,"£63,000",David Behan,"£188,719",Yes,Yes,Yes,PHSO,2013/14,2010,"£87,325,000","£194,587,000",2315,NAO,Yes,Ministerial,Paid,1,0,0,Ministerial,Paid,3,4,0,1
1,Commission on Human Medicines,Department of Health,Advisory NDPB,FULL,Retain,Yes,"To advise the Health Ministers and the Licensing Authority (LA) on matters relating to human medicinal products, and to consider those applications that lead to LA action as appropriate (i.e. where the LA has a statutory duty to refer or chooses to do so).",-,"151 Buckingham Palace Road, Victoria, London, SW1W 9SZ",020 3080 6000,ExpertCommitteeSupport@mhra.gsi.gov.uk,http://www.mhra.gov.uk/Committees/Medicinesadvisorybodies/CommissiononHumanMedicines/index.htm,Professor Stuart Ralston,£500 per day,Ms Swati Singh, Civil Servant,No,Yes,Yes,PHSO,2013,2010,£0,£0,0,NAO,Yes,Ministerial,Paid,1,0,0,Ministerial,Paid,12,8,0,1
1,"Committee on Mutagenicity of Chemicals in Food, Consumer Products and the Environment",Department of Health,Advisory NDPB,FULL,No longer an NDPB,No,"To assess and advise on the mutagenic risk to man of substances in food, consumer products and the environment.","The last annual report in 2012 and was a joint publication with the Committee on Toxicity (COT), Committee on Carcinogencity (COC) and Committee on Mutagenicity (COM) and is on the COT website - http://cot.food.gov.uk/cotreports/cotcomcocarp12 . The position of CE is currently vacant. ","Public Health England, CRCE, Chilton, Didcot, Oxfordshire, OX11 0RQ",01235 825141,gill.fisher@phe.gov.uk,http://www.iacom.org.uk/,David Lovell,£198 per meeting,-,£0,Yes,Yes,Yes,PHSO,2012,2010,£0,£0,0,-,Yes,Ministerial,Paid,1,0,0,Ministerial,Paid,9,3,0,1
1,Health and Social Care Information Centre,Department of Health,Executive NDPB,FULL,-,No,"HSCIC collects, analyses and publishes national data and statistical information and delivers national IT systems and services to support health and care providers.  ",Alan Perkins left post on 31/03/14,"Trevelyan Square, Boar Lane,  Leeds   LS1 6AE",0845 300 6016,enquiries@hscic.gov.uk ,http://www.hscic.gov.uk/,Kingsley Manning,"£63,000",Alan Perkins,"£144,711",Yes,Yes,Yes,PHSO,2013/14,-,"£206,842,000","£192,466,000",2065,NAO,Yes,Ministerial,Paid,1,0,0,Ministerial,Paid,2,0,0,1
1,Human Fertilisation and Embryology Authority,Department of Health,Executive NDPB,FULL,Retain,Yes,"Licensing and inspection of fertility clinics and research projects involving human embryos.  Holder and provider of information for the public, patients, donor conceived people and donors.  Sets policy framework for fertility issues.",The original public bodies reform proposal was to abolish the Human Fertilisation and Embryology Authority but following consultation the decision was made not to proceed with abolition. A further independent review of the Human Fertilisation and Embryology Authority was undertaken by Justin McCracken in 2013. The McCracken Review was published in July 2013 and the Government has accepted all the recommendations.,"Finsbury Tower, 103-105 Bunhill Row, London, EC1Y 8HF",020 7291 8200,enquiriesteam@hfea.gov.uk,http://www.hfea.gov.uk/,Sally Cheshire (Interim),"£59,000",Peter Thompson,"£135,001  £140,000",Yes,Yes,Yes,PHSO,2013/14,2013,"£1,018,262","£5,027,994",63,NAO,Yes,Ministerial,Paid,0,1,0,Ministerial,Paid,4,5,0,1
1,Human Tissue Authority,Department of Health,Executive NDPB,FULL,Retain,Yes,"The Human Tissue Authority (HTA) aims to maintain public and professional confidence by ensuring that human tissue and organs are used safely and ethically and with proper consent. The HTA regulate organisations that remove, store and use human tissue for research, medical treatment, post-mortem examination, teaching and display in public. The HTA also give approval for organ and bone marrow donations from living people. ",The original public bodies reform proposal was to abolish the HTA but following consultation the decision was made not to proceed with abolition. A further independent review of the HTA was undertaken by Justin McCracken in 2013. The McCracken Review was published in July 2013 and the Government has accepted all the recommendations.  Baroness Diana Warwick left post on 31/03/14,"151 Buckingham Palace Road, London, SW1W 9SZ",020 7269 1900,enquiries@hta.gov.uk,http://www.hta.gov.uk/,"Baroness Diana Warwick
","£42,000",Alan Clamp,"£101,100",Yes,Yes,Yes,PHSO,2013-14,2013,"£773,000","£3,913,282",43,NAO,Yes,Ministerial,Paid,0,1,0,Ministerial,Paid,4,6,0,1
1,Independent Reconfiguration Panel,Department of Health,Advisory NDPB,FULL,Retain,No,"To advise the Secretary of State for Health on contentious proposals for changes to NHS services. To offer support and generic advice to the NHS, local authorities and other interested bodies involved in NHS service reconfiguration.",-,"6th Floor, 157 - 197 Buckingham Palace Road, London, SW1W 9SP",020 7389 8045,info@irpanel.org.uk,http://www.irpanel.org.uk/,Bernard Ribeiro,"£36,780",Richard Jeavons,"£112,200",Yes,Yes,Yes,-,2013,2010,"£504,000","£504,000",2,-,Yes,Ministerial,Paid,1,0,0,Ministerial ,Paid,5,10,0,1
1,Medicines and Healthcare Products Regulatory Agency,Department of Health,Executive Agency,FULL,-,Yes,The Medicines and Healthcare Products Regulatory Agency (MHRA) is responsible for regulating all medicines and medical devices in the UK by ensuring they work and are acceptably safe.,Trading Fund.  The eight members are non-executive directors.,"151 Buckingham Palace Road,London,SW1W 9SZ",020 3080 6000,info@mhra.gsi.gov.uk,http://www.mhra.gov.uk/,Professor Sir Gordon Duff,"£60,000-£65,000",Dr Ian Hudson                                         ,"£145,000 -£150,000                      ",No,Yes,Yes,PHSO,2012-13,2013,"£28,850,000","£122,108,000","1,214",NAO,No,Ministerial,Paid,1,0,0,Ministerial ,Paid,6,2,0,1
1,Monitor,Department of Health,Executive NDPB,FULL,Retain,Yes,"Monitor is the sector regulator for health services in England. Our job is to protect and promote the interests of patients by ensuring that the whole sector works for their benefit. Monitor has an on-going role in assessing NHS Trusts for foundation trust status, and for ensuring that foundation trusts are well-led, in terms of both quality and finances.","David Bennett was acting as Monitor's interim Chairman until 20th January 2014. Whilst he acted as both interim Chairman and Chief Executive, David Bennett did not receive any remuneration for undertaking his duties as Monitor's Chairman. As Chief Executive, David Bennett does not take a pension.","Wellington House, 133-155 Waterloo Road, London SE1 8UG",020 3747 0000,enquiries@monitor.gov.uk,https://www.gov.uk/government/organisations/monitor,Baroness Joan Hanham,"£63,000",David Bennett,"£230,010",Yes,Yes,Yes,PHSO,2013-14,2010,"£69,654,000","£64,293,000",303,NAO,Yes,Ministerial,Paid,0,1,0,Ministerial,Paid,4,1,0,1
1,National Institute for Health and Care Excellence,Department of Health,Executive NDPB,FULL,-,No,"National Institute for Health and Care Excellence (NICE) provides guidance, standards and information to help health, public health and social care professionals deliver the best possible care based on the best available evidence. ","The government funding figure is the total funding from the Department of Health (admin, programme and depreciation) excluding capital. The gross expenditure figure is the figure reported in NICE's 2013/14 accounts. The staff employed (FTE) figure includes secondees, temps and contractors. This is the average staff figure included in NICE's 2013/14 accounts.","Level 1A, City Tower, Piccadilly Plaza, Manchester M1 4DB",0845 0037780,nice@nice.org.uk,http://www.nice.org.uk/,Professor David Haslam,"£68,049",Sir Andrew Dillon,"£185,732",Yes,Yes,Yes,PHSO,2013/14,-,"£67,229,000","£68,547,000",560,NAO,Yes,Ministerial,Paid,1,0,0,Ministerial,Paid,5,3,0,1
1,NHS England,Department of Health,Executive NDPB,FULL,-,No,The role of NHS England is to promote a comprehensive health service so as to improve the health outcomes for people in England. It also promotes the NHS Constitution and the values and commitments contained within it. ,"NHS Commissioning Board became an ENDPB in October 2012. The legal name is NHS Commissioning Board however it is now known as NHS England. Until 30 September 2013 Malcolm Grants employer (University College London) recharged for his time spent on NHS England work (limited to the advertised remuneration). From 1 October 2013 he has been paid via the NHS England payroll.  The CE, Sir David Nicholson, had a salary of £210k-215k which was met by NHS England.
","Quarry House, Quarry Hill, Leeds, LS2 7UE",0300 311 22 33,england.contactus@nhs.net,http://www.england.nhs.uk/,Professor Sir Malcolm Grant,"£60,000-£65,000",Sir David Nicholson ,"£210,000-£215,000",Yes,Yes,Yes,PHSO,2013/14,-,"£95,873,000,000","£96,362,000,000",5561,NAO,Yes,Ministerial,Paid,1,0,0,Ministerial,Paid,3,2,0,1
1,NHS Pay Review Body,Department of Health,Advisory NDPB,FULL,Retain,No,To make recommendations on the remuneration of all staff paid under Agenda for Change and employed in the NHS.,Secretariat is provided by the Office of Manpower Economics.,"Office of Manpower Economics, Victoria House (6th Floor), Southampton Row, London WC1B 4AD",020 7271 0490,craig.marchant@bis.gsi.gov.uk,http://www.ome.uk.com/example/nhs-pay-review-body,Jerry Cope ,£350 per day,-,-,No,No,Yes,-,2014,2010,£0,£0,0,NAO,Yes,Ministerial,Paid ,1,0,0,Ministerial,Paid,3,4,0,1
1,Public Health England,Department of Health,Executive Agency,FULL,-,No,"Public Health England protects and improves the nations health and wellbeing and works to reduce inequalities. It provides national leadership and expert services to support locally-led public health services and expert services to respond to health protection emergencies, working alongside local government, the NHS and other key partners.",New agency established from 1 April 2013,"Wellington House, 133-155 Waterloo Road, London SE1 8UG ",0207 654 8000,enquiries@phe.gov.uk   ,https://www.gov.uk/government/organisations/public-health-england,Professor David Heymann,"£39,000",Duncan Selbie,"£185,901",Yes,Yes,Yes,PHSO,2013-14,-,"£3,580,619,000","£3,729,838,000",5141,NAO,No,Ministerial,Paid,1,0,0,"6 Ministerial, 2 non-Ministerial",Paid,5,3,0,1
1,Review Body on Doctors and Dentists Remuneration,Department of Health,Advisory NDPB,FULL,Retain,No,To make recommendations on the remuneration of doctors and dentists taking part in the NHS.,Secretariat is provided by the Office of Manpower Economics.,"Office of Manpower Economics, Victoria House (6th Floor), Southampton Row, London, WC1B 4AD",020 7271 0486,cliff.wilkes@bis.gsi.gov.uk,http://www.ome.uk.com/example/Review_Body_on_Doctors_and_Dentists_Remuneration.aspx,Professor Paul Curran,3350 per day,-,-,No,No,Yes,-,2014,2010,£0,£0,0,NAO,Yes,Ministerial,Paid,1,0,0,Ministerial,Paid,6,1,0,1
1,Export Guarantees Advisory Council,Export Credits Guarantee Department,Advisory NDPB,FULL,Retain,No,"To give advice to the Secretary of State, at his request, in respect of any matter relating to the exercise of his functions under the Export and Investment Guarantees Act 1991.



",UK Export Finance is the operating name of the Export Credits Guarantee Department (ECGD).,"EGAC, 1 Horse Guards Road, London, SW1A 2HQ",020 7271 8101,cxo@ecgd.gsi.gov.uk,https://www.gov.uk/government/organisations/export-guarantees-advisory-council,Andrew Wiseman,£0,Laurence Lily,Civil Servant,No,Yes,Yes,PHSO,2012-13,2013,-,-,5000,-,Yes,Ministerial,Unpaid,1,0,0,7 Ministerial,7 Unpaid,4,3,0,1
1,Advisory Committee on Animal Feeding stuffs,Food Standards Agency,Advisory NDPB,FULL,-,No,"Advises on the safety and use of animal feeds and feeding practices, with particular emphasis on protecting human health, and with reference to new technical developments.",Established 1999.,"ACAF Secretariat, Food Standards Agency, Room 1b Aviation House, 125 Kingsway, London, WC2B 6NH",020 7276 8468,acaf@foodstandards.gsi.gov.uk,http://acaf.food.gov.uk/,Dr Ian Brown,"£1,230",Keith Millar,Civil Servant,Yes,Yes,Yes,PHSO,2012,2009,-,-,3,-,No,Joint FSA + UK Agricultural Ministerial,Paid,1,0,0,12 Members ,Paid ,7,5,0,1
1,Advisory Committee on Novel Foods and Processes,Food Standards Agency,Advisory NDPB,FULL,-,No,Advises the FSA on any matters relating to novel foods (including genetically modified foods) and novel processes (including food irradiation). ,Established 1988. Public meetings: one open workshop is held each year.,"ACNFP Secretariat, Room 1B Aviation House, 125 Kingsway, London, WC2B 6NH
",020 7276 8596,acnfp@foodstandards.gsi.gov.uk,http://acnfp.food.gov.uk/,Professor Peter Gregory,"£1,230",Dr Sandy Lawrie,Civil Servant,Yes,Yes,Yes,PHSO,2012,2012,-,-,1,-,No,Non-Ministerial,Paid,1,0,0,15 Non-Ministerial,-,-,-,-,1
1,Advisory Committee on the Microbiological Safety of Food,Food Standards Agency,Advisory NDPB,FULL,-,No,"Provides expert advice to Government on questions relating to microbiological issues and food.
",Established 1990.,"ACMSF Secretariat, Room 1b Aviation House, 125 Kingsway, London, WC2B 6NH
",020 7276 8947,acmsf@foodstandards.gsi.gov.uk,http://acmsf.food.gov.uk/,Professor Sarah O'Brien,"£1,435",Dr Paul Cook,Civil Servant,Yes,Yes,Yes,PHSO,2012,2011,-,-,3,-,No,Non-Ministerial,Paid ,0,1,0,Non-Ministerial,Paid ,10,5,0,1
1,"Committee on Toxicity of Chemicals in Food, Consumer Products and the Environment",Food Standards Agency,Advisory NDPB,FULL,-,No,"Advises the FSA, the DoH and other Government Departments and Agencies on matters concerning the toxicity of chemicals.
",Established 1978.,"COT Secretariat, Food Standards Agency, Room 1b Aviation House, 125 Kingsway, London, WC2B 6NH",020 7276 8522,cot@foodstandards.gsi.gov.uk,http://cot.food.gov.uk/,Professor David Coggon,"£1,435",Dr Diane Benford,Civil Servant,Yes,Yes,Yes,PHSO,2012,2012,-,-,3,-,No,Non-Ministerial,Paid,1,0,0,Non-Ministerial ,Paid ,0,0,0,1
1,Food Standards Agency,Food Standards Agency,Non Ministerial Department,FULL,-,Yes,"The Food Standards Agency's main aim is to protect people's health and the interest of the consumer in relation to food.  The FSA is responsible for food safety and hygiene, working with businesses to help them produce safe food and with local authorities to enforce food safety regulations.","Established by the Food Standards Act 1999. The Chair Rt Hon Lord Jeff Rooker left in July 2013 and an interim Chair is in place (Tim Bennett) until a full time replacement is recruited. Catherine Brown became CE in October 2012. CE remuneration is for Oct 12 to Mar 13 and includes salary, performance related pay, pension and travel.","Aviation House, 125 Kingsway, London, WC2B 6NH",020 7276 8000,helpline@foodstandards.gsi.gov.uk,http://www.food.gov.uk/,Tim Bennett,"£45,000 - £50,000",Catherine Brown,"£140,0000-£145,000",Yes,Yes,Yes,PHSO,2012-13,2013,"£93,181,000","£131,180,000","1,264",NAO,Yes,0,0,0,0,0,0,0,0,0,0,1
1,General Advisory Committee on Science,Food Standards Agency,Advisory NDPB,FULL,-,No,"Provides independent advice on the Food Standards Agency's governance and use of science.
",Established 2007.,"GACS Secretariat, Food Standards Agency, Room 1B Aviation House, 125 Kingsway, London, WC2B 6NH
",020 7276 8277,gacs@foodstandards.gsi.gov.uk,http://gacs.food.gov.uk/,Professor Sir Colin Blakemore,"£1,020",Dr Patrick Miller,Civil Servant,Yes,Yes,Yes,PHSO,2013-14,2013,-,-,2,-,No,Non-Ministerial,Paid,1,0,0,Non-Ministerial,0,0,0,0,1
